corp_cd,corp_nm,upjong
041510,에스엠,오락·문화
007820,에스엠코어,기계·장비
109610,에스와이,금속
306040,에스제이그룹,섬유·의류
080440,에스제이케이,유통
096630,에스코넥,IT부품
069510,에스텍,일반전기전자
041910,에스텍파마,제약
234300,에스트래픽,소프트웨어
039440,에스티아이,반도체
098660,에스티오,섬유·의류
052020,에스티큐브,IT부품
237690,에스티팜,제약
050760,에스폴리텍,화학
288620,에스퓨얼셀,일반전기전자
317830,에스피시스템스,기계·장비
058610,에스피지,IT부품
043340,에쎈테크,기계·장비
054630,에이디칩스,기타제조
200710,에이디테크놀로지,반도체
096690,에이루트,정보기기
298380,에이비엘바이오,제약
195990,에이비프로바이오,기계·장비
003800,에이스침대,기타제조
088800,에이스테크,통신장비
241840,에이스토리,오락·문화
138360,에이씨티,화학
039230,에이아이비트,반도체
312610,에이에프더블류,일반전기전자
102210,에이치디,운송장비·부품
072990,에이치시티,기타서비스
176440,에이치엔티,IT부품
028300,에이치엘비,운송장비·부품
067630,에이치엘비생명과학,기타서비스
047920,에이치엘비제약,기타서비스
043220,에이치엘비파워,기계·장비
239610,에이치엘사이언스,음식료·담배
353070,에이치엠씨제4호스팩,금융
353060,에이치엠씨제5호스팩,금융
044780,에이치케이,기계·장비
071670,에이테크솔루션,기계·장비
045660,에이텍,정보기기
224110,에이텍티앤,정보기기
230980,에이트원,출판·매체복제
021080,에이티넘인베스트,금융
089530,에이티세미콘,반도체
200470,에이팩트,반도체
073070,에이팸,운송장비·부품
262260,에이프로,일반전기전자
109960,에이프로젠 H&G,유통
089970,에이피티씨,기계·장비
230240,에치에프알,일반전기전자
064510,에코마이스터,기계·장비
230360,에코마케팅,기타서비스
038870,에코바이오,기타서비스
128540,에코캡,운송장비·부품
086520,에코프로,IT부품
247540,에코프로비엠,일반전기전자
038110,에코플라스틱,운송장비·부품
073540,에프알텍,통신장비
064850,에프앤가이드,기타서비스
064090,에프앤리퍼블릭,유통
036810,에프에스티,반도체
173940,에프엔씨엔터,오락·문화
083500,에프엔에스테크,기계·장비
054940,엑사이엔씨,건설
950130,엑세스바이오,제약
205100,엑셈,소프트웨어
070300,엑스큐어,소프트웨어
092870,엑시콘,반도체
317870,엔바이오니아,기타제조
067570,엔브이에이치코리아,운송장비·부품
236810,엔비티,기타서비스
333620,엔시스,일반전기전자
101400,엔시트론,반도체
217820,엔에스,기계·장비
031860,엔에스엔,유통
310840,엔에이치스팩13호,금융
353190,엔에이치스팩16호,금융
359090,엔에이치스팩17호,금융
365590,엔에이치스팩18호,금융
265740,엔에프씨,화학
354200,엔젠바이오,기타서비스
208860,엔지스테크널러지,소프트웨어
183490,엔지켐생명과학,제약
182400,엔케이맥스,제약
069410,엔텔스,소프트웨어
227950,엔투텍,기계·장비
198080,엔피디,IT부품
048830,엔피케이,화학
096870,엘디티,반도체
061970,엘비세미콘,반도체
138690,엘아이에스,반도체
290650,엘앤씨바이오,제약
066970,엘앤에프,IT부품
156100,엘앤케이바이오,의료·정밀기기
073110,엘엠에스,IT부품
083310,엘오티베큠,반도체
297890,엘이티,기계·장비
037950,엘컴텍,IT부품
170920,엘티씨,반도체
058630,엠게임,디지털컨텐츠
019590,엠벤처투자,금융
169330,엠브레인,기타서비스
097520,엠씨넥스,IT부품
179290,엠아이텍,의료·정밀기기
009780,엠에스씨,음식료·담배
123040,엠에스오토텍,운송장비·부품
323230,엠에프엠코리아,섬유·의류
032790,엠젠플러스,정보기기
033160,엠케이전자,반도체
347890,엠투아이,정보기기
033310,엠투엔,금속
259630,엠플러스,기계·장비
115960,연우,화학
060850,영림원소프트랩,소프트웨어
007530,영신금속,금속
143540,영우디에스피,반도체
036560,영풍정밀,기계·장비
265560,영화테크,운송장비·부품
036000,예림당,출판·매체복제
250930,예선테크,화학
053280,예스24,인터넷
122640,예스티,반도체
900300,오가닉티코스메틱,금융
045060,오공,화학
080520,오디텍,반도체
039830,오로라,기타서비스
322310,오로스테크놀로지,기계·장비
046120,오르비텍,기타서비스
014940,오리엔탈정공,기계·장비
065500,오리엔트정공,운송장비·부품
010470,오리콤,기타서비스
053980,오상자이엘,컴퓨터서비스
052420,오성첨단소재,IT부품
241790,오션브릿지,반도체
039200,오스코텍,제약
226400,오스테오닉,의료·정밀기기
031510,오스템,운송장비·부품
048260,오스템임플란트,의료·정밀기기
138080,오이솔루션,통신장비
080580,오킨스전자,반도체
067170,오텍,운송장비·부품
173130,오파스넷,소프트웨어
049480,오픈베이스,컴퓨터서비스
309930,오하임아이엔티,금융
244460,올리패스,제약
226950,올릭스,기타서비스
057540,옴니시스템,의료·정밀기기
082210,옵트론텍,IT부품
109080,옵티시스,통신장비
153710,옵티팜,제약
321820,와이더플래닛,출판·매체복제
122990,와이솔,반도체
232140,와이아이케이,반도체
065530,와이어블,통신서비스
067900,와이엔텍,기타서비스
155650,와이엠씨,IT부품
251370,와이엠티,화학
066430,와이오엠,유통
193250,와이제이엠게임즈,IT부품
273060,와이즈버즈,기타서비스
019210,와이지-원,금속
122870,와이지엔터테인먼트,오락·문화
332570,와이팜,IT부품
079000,와토스코리아,화학
114630,우노앤컴퍼니,화학
032820,우리기술,일반전기전자
041190,우리기술투자,금융
115440,우리넷,통신장비
046970,우리로,유통
082850,우리바이오,일반전기전자
215360,우리산업,운송장비·부품
072470,우리산업홀딩스,운송장비·부품
073560,우리손에프앤지,음식료·담배
153490,우리이앤엘,반도체
037400,우리조명,일반전기전자
101170,우림기계,기계·장비
066590,우수AMS,운송장비·부품
103840,우양,음식료·담배
046940,우원개발,건설
215380,우정바이오,기타서비스
065680,우주일렉트로,IT부품
018620,우진비앤지,제약
307280,원바이오젠,제약
053080,원방테크,기계·장비
032940,원익,유통
240810,원익IPS,반도체
074600,원익QnC,비금속
104830,원익머트리얼즈,반도체
014190,원익큐브,유통
030530,원익홀딩스,금융
012620,원일특강,금속
008370,원풍,화학
008290,원풍물산,섬유·의류
101160,월덱스,반도체
095270,웨이브일렉트로,IT부품
065950,웰크론,섬유·의류
076080,웰크론한텍,건설
196700,웹스,화학
069080,웹젠,디지털컨텐츠
053580,웹케시,금융
071460,위니아딤채,일반전기전자
044340,위닉스,일반전기전자
330350,위더스제약,제약
348350,위드텍,의료·정밀기기
112040,위메이드,디지털컨텐츠
065370,위세아이텍,출판·매체복제
038620,위즈코프,유통
299900,위지윅스튜디오,오락·문화
036090,위지트,기계·장비
136540,윈스,소프트웨어
320000,윈텍,기계·장비
097800,윈팩,반도체
192390,윈하이텍,금속
313760,윌링스,일반전기전자
900340,윙입푸드,금융
036200,유니셈,반도체
018000,유니슨,기계·장비
203450,유니온커뮤니티,일반전기전자
011320,유니크,운송장비·부품
086390,유니테스트,반도체
241690,유니테크노,운송장비·부품
142210,유니트론텍,유통
048430,유라테크,일반전기전자
206650,유바이오로직스,제약
089850,유비벨록스,소프트웨어
032620,유비케어,소프트웨어
264450,유비쿼스,통신장비
078070,유비쿼스홀딩스,일반전기전자
024800,유성티엔에스,운송
054930,유신,기타서비스
069330,유아이디,IT부품
049520,유아이엘,IT부품
313750,유안타제4호스팩,금융
336060,유안타제5호스팩,금융
340360,유안타제6호스팩,금융
367460,유안타제7호스팩,금융
367480,유안타제8호스팩,금융
056090,유앤아이,의료·정밀기기
263770,유에스티,금속
340930,유일에너테크,기계·장비
023410,유진기업,비금속
056080,유진로봇,기계·장비
321260,유진스팩4호,금융
331380,유진스팩5호,금융
373340,유진스팩6호,금융
084370,유진테크,반도체
178780,유테크,IT부품
179900,유티아이,IT부품
263050,유틸렉스,제약
191410,육일씨엔에쓰,IT부품
072770,율호,소프트웨어
039020,이건홀딩스,종이·목재
060230,이그잭스,IT부품
067920,이글루시큐리티,소프트웨어
044960,이글벳,유통
302430,이노메트리,기계·장비
073490,이노와이어리스,통신장비
086250,이노와이즈,기계·장비
215790,이노인스트루먼트,통신장비
246960,이노테라피,제약
088390,이녹스,운송장비·부품
272290,이녹스첨단소재,IT부품
053350,이니텍,소프트웨어
258610,이더블유케이,금속
215090,이디티,의료·정밀기기
041520,이라이콤,IT부품
264850,이랜시스,일반전기전자
054210,이랜텍,IT부품
164060,이루다,의료·정밀기기
065440,이루온,소프트웨어
115610,이미지스,반도체
349720,이베스트스팩5호,금융
323210,이베스트이안스팩1호,금융
078020,이베스트투자증권,금융
080010,이상네트웍스,인터넷
086890,이수앱지스,제약
047560,이스트소프트,디지털컨텐츠
900110,이스트아시아홀딩스,금융
067010,이씨에스,정보기기
052190,이에스에이,오락·문화
101360,이엔드디,화학
102710,이엔에프테크놀로지,화학
066980,이엔코퍼레이션,디지털컨텐츠
063760,이엘피,반도체
087730,이엠네트웍스,반도체
123570,이엠넷,기타서비스
083470,이엠앤아이,IT부품
095190,이엠코리아,기계·장비
091120,이엠텍,IT부품
039030,이오테크닉스,반도체
294090,이오플로우,의료·정밀기기
088290,이원컴포텍,운송장비·부품
181340,이즈미디어,의료·정밀기기
353810,이지바이오,음식료·담배
099750,이지케어텍,소프트웨어
035810,이지홀딩스,음식료·담배
160600,이큐셀,기계·장비
092130,이크레더블,기타서비스
096040,이트론,정보기기
134060,이퓨쳐,출판·매체복제
001840,이화공영,건설
024810,이화전기,IT부품
041830,인바디,의료·정밀기기
352940,인바이오,화학
079950,인베니아,기계·장비
277410,인산가,음식료·담배
060150,인선이엔티,기타서비스
033230,인성정보,컴퓨터서비스
037330,인지디스플레,IT부품
083640,인콘,통신장비
216050,인크로스,기타서비스
049070,인탑스,IT부품
119610,인터로조,의료·정밀기기
017250,인터엠,일반전기전자
035080,인터파크,유통
051370,인터플렉스,IT부품
064290,인텍플러스,반도체
189300,인텔리안테크,일반전기전자
150840,인트로메딕,의료·정밀기기
048530,인트론바이오,제약
175140,인포마크,통신장비
115310,인포바인,통신서비스
039290,인포뱅크,통신서비스
071200,인피니트헬스케어,소프트웨어
101930,인화정공,운송장비·부품
068330,일신바이오,기계·장비
058450,일야,IT부품
019540,일지테크,운송장비·부품
094820,일진파워,건설
950140,잉글우드랩,화학
049550,잉크테크,화학
254120,자비스,기계·장비
221610,자안,화학
043910,자연과환경,기타서비스
234920,자이글,일반전기전자
289220,자이언트스텝,오락·문화
174880,장원테크,통신장비
049630,재영솔루텍,IT부품
110020,전진바이오팜,화학
208140,정다운,음식료·담배
022220,정산애강,화학
040420,정상제이엘에스,기타서비스
045510,정원엔시스,컴퓨터서비스
065620,제낙스,금속
217190,제너셈,반도체
095700,제넥신,기타서비스
072520,제넨바이오,기타서비스
122310,제노레이,의료·정밀기기
361390,제노코,통신장비
187420,제노포커스,제약
225220,제놀루션,제약
123330,제닉,화학
159580,제로투세븐,유통
147830,제룡산업,금속
033100,제룡전기,IT부품
079370,제우스,기계·장비
054950,제이브이엠,기계·장비
090470,제이스텍,반도체
287410,제이시스메디칼,의료·정밀기기
137950,제이씨케미칼,화학
033320,제이씨현시스템,유통
204270,제이앤티씨,일반전기전자
026040,제이에스티나,기타제조
126880,제이엔케이히터,기계·장비
322510,제이엘케이,소프트웨어
033050,제이엠아이,출판·매체복제
094970,제이엠티,IT부품
058420,제이웨이,오락·문화
089790,제이티,반도체
052670,제일바이오,제약
199820,제일전기공업,일반전기전자
023440,제일제강,금속
038010,제일테크노스,금속
080220,제주반도체,반도체
216080,제테마,제약
229000,젠큐릭스,제약
082270,젬백스,기계·장비
064800,젬백스링크,유통
041590,젬백스지오,건설
044060,조광ILI,기계·장비
034940,조아제약,제약
101730,조이맥스,디지털컨텐츠
067000,조이시티,디지털컨텐츠
033340,좋은사람들,섬유·의류
036930,주성엔지니어링,반도체
239340,줌인터넷,인터넷
072020,중앙백신,제약
000440,중앙에너비스,유통
228760,지노믹트리,제약
314130,지놈앤컴퍼니,제약
043610,지니뮤직,디지털컨텐츠
263860,지니언스,소프트웨어
303030,지니틱스,반도체
036180,지더블유바이텍,유통
208350,지란지교시큐리티,출판·매체복제
114570,지스마트글로벌,반도체
051160,지어소프트,소프트웨어
053050,지에스이,전기·가스·수도
119850,지엔씨에너지,일반전기전자
270520,지엔원에너지,기타서비스
065060,지엔코,섬유·의류
204840,지엘팜텍,기타서비스
111820,지와이커머스,인터넷
115450,지트리비앤티,유통
219750,지티지웰니스,의료·정밀기기
018120,진로발효,음식료·담배
109820,진매트릭스,기타서비스
086060,진바이오텍,음식료·담배
036890,진성티이씨,기계·장비
007370,진양제약,제약
085660,차바이오텍,제약
094850,참좋은여행,기타서비스
004650,창해에탄올,음식료·담배
311690,천랩,기타서비스
278280,천보,화학
096240,청담러닝,기타서비스
013720,청보산업,운송장비·부품
066360,체리부로,음식료·담배
047820,초록뱀미디어,오락·문화
094360,칩스앤미디어,소프트웨어
016920,카스,유통
284620,카이노스메드,기타서비스
293490,카카오게임즈,디지털컨텐츠
042000,카페24,인터넷
317530,캐리소프트,오락·문화
071850,캐스텍코리아,운송장비·부품
180400,캔서롭,기타서비스
050110,캠시스,IT부품
900310,컬러레이,금융
078340,컴투스,디지털컨텐츠
307930,컴퍼니케이,금융
263700,케어랩스,소프트웨어
214370,케어젠,제약
221980,케이디켐,화학
043290,케이맥,기계·장비
317030,케이비17호스팩,금융
323940,케이비제18호스팩,금융
330990,케이비제19호스팩,금융
342550,케이비제20호스팩,금융
192250,케이사인,소프트웨어
115500,케이씨에스,컴퓨터서비스
089150,케이씨티,컴퓨터서비스
025880,케이씨피드,음식료·담배
093320,케이아이엔엑스,인터넷
073010,케이에스피,기계·장비
105330,케이엔더블유,일반전기전자
272110,케이엔제이,기계·장비
039420,케이엘넷,통신서비스
083550,케이엠,섬유·의류
032500,케이엠더블유,통신장비
225430,케이엠제약,화학
064820,케이프,운송장비·부품
347140,케이프이에스제4호,금융
256940,케이피에스,반도체
024880,케이피에프,금속
042040,케이피엠테크,화학
054410,케이피티유,금속
274090,켄코아에어로스페이스,운송장비·부품
217600,켐온,기타서비스
089010,켐트로닉스,화학
220260,켐트로스,화학
052400,코나아이,소프트웨어
033110,코너스톤네트웍스,유통
046070,코다코,운송장비·부품
047770,코데즈컴바인,섬유·의류
078940,코드네이처,건설
080530,코디,화학
224060,코디엠,반도체
078650,코렌,의료·정밀기기
104540,코렌텍,의료·정밀기기
027050,코리아나,화학
290510,코리아센터,소프트웨어
190650,코리아에셋투자증권,금융
101670,코리아에스이,금속
123410,코리아에프티,운송장비·부품
036690,코맥스,통신장비
049430,코메론,의료·정밀기기
183300,코미코,반도체
041960,코미팜,제약
089890,코세스,반도체
009730,코센,금속
082660,코스나인,IT부품
222040,코스맥스엔비티,음식료·담배
241710,코스메카코리아,화학
069110,코스온,화학
166480,코아스템,제약
045970,코아시아,IT부품
196450,코아시아옵틱스,의료·정밀기기
029960,코엔텍,기타서비스
102940,코오롱생명과학,제약
950160,코오롱티슈진,제약
033290,코웰패션,유통
056360,코위버,통신장비
282880,코윈테크,기계·장비
121850,코이즈,IT부품
015710,코콤,통신장비
052330,코텍,정보기기
322780,코퍼스코리아,오락·문화
126600,코프라,화학
200130,콜마비앤에이치,제약
317690,퀀타매트릭스,의료·정밀기기
060280,큐렉소,유통
040350,큐로컴,컴퓨터서비스
051780,큐로홀딩스,방송서비스
115180,큐리언트,기타서비스
043090,큐브앤컴퍼니,유통
182360,큐브엔터,오락·문화
066310,큐에스아이,반도체
016600,큐캐피탈,금융
043590,크로바하이텍,반도체
114120,크루셜텍,IT부품
110790,크리스에프앤씨,섬유·의류
900250,크리스탈신소재,금융
083790,크리스탈지노믹스,기타서비스
045520,크린앤사이언스,기계·장비
036170,클라우드에어,반도체
214150,클래시스,의료·정밀기기
352770,클리노믹스,기타서비스
237880,클리오,화학
139670,키네마스터,소프트웨어
311270,키움제5호스팩,금융
054780,키이스트,오락·문화
219130,타이거일렉,반도체
065130,탑엔지니어링,기계·장비
023160,태광,금속
053620,태양,금속
044490,태웅,금속
124560,태웅로직스,운송
191420,테고사이언스,제약
073640,테라사이언스,금속
182690,테라셈,반도체
066700,테라젠이텍스,제약
095610,테스,반도체
131970,테스나,반도체
089030,테크윙,반도체
054450,텔레칩스,반도체
091440,텔레필드,통신장비
200230,텔콘RF제약,통신장비
215480,토박스코리아,유통
051360,토비스,정보기기
045340,토탈소프트,소프트웨어
108230,톱텍,기계·장비
079970,투비소프트,소프트웨어
105550,트루윈,일반전기전자
026150,특수건설,건설
322180,티라유텍,소프트웨어
117730,티로보틱스,기계·장비
033830,티비씨,방송서비스
057680,티사이언티픽,디지털컨텐츠
064760,티씨케이,반도체
246710,티앤알바이오팹,제약
340570,티앤엘,제약
277880,티에스아이,기계·장비
131290,티에스이,반도체
356860,티엘비,일반전기전자
062860,티엘아이,반도체
321550,티움바이오,기타서비스
104480,티케이케미칼,화학
081150,티플랙스,금속
130740,티피씨글로벌,운송장비·부품
084730,팅크웨어,통신장비
046210,파나진,의료·정밀기기
034230,파라다이스,오락·문화
033540,파라텍,기계·장비
043200,파루,IT부품
214450,파마리서치,유통
208340,파멥신,제약
177830,파버나인,일반전기전자
037070,파세코,일반전기전자
150900,파수,소프트웨어
037030,파워넷,일반전기전자
047310,파워로직스,IT부품
170790,파이오링크,통신장비
049120,파인디앤씨,IT부품
038950,파인디지털,통신장비
106240,파인테크닉스,IT부품
131760,파인텍,IT부품
065690,파커스,IT부품
140860,파크시스템스,의료·정밀기기
091700,파트론,IT부품
038160,팍스넷,금융
032800,판타지오,오락·문화
318010,팜스빌,음식료·담배
027710,팜스토리,음식료·담배
225590,패션플랫폼,섬유·의류
054300,팬스타엔터프라이즈,기계·장비
068050,팬엔터테인먼트,오락·문화
222110,팬젠,제약
263750,펄어비스,디지털컨텐츠
251970,펌텍코리아,화학
087010,펩트론,제약
119500,포메탈,금속
016670,포비스티앤씨,유통
056730,포스링크,유통
022100,포스코 ICT,기타서비스
009520,포스코엠텍,금속
189690,포시에스,소프트웨어
318020,포인트모바일,일반전기전자
256630,포인트엔지니어링,금속
141020,포티스,유통
041020,폴라리스오피스,소프트웨어
290720,푸드나무,유통
005670,푸드웰,음식료·담배
094940,푸른기술,정보기기
007330,푸른저축은행,금융
093380,풍강,금속
023900,풍국주정,음식료·담배
195440,퓨전,소프트웨어
214270,퓨쳐스트림네트웍스,출판·매체복제
220100,퓨쳐켐,제약
035200,프럼파스트,화학
334970,프레스티지바이오로직스,제약
203690,프로스테믹스,제약
053610,프로텍,반도체
335810,프리시젼바이오,의료·정밀기기
053160,프리엠스,일반전기전자
075130,플랜티넷,컴퓨터서비스
237820,플레이디,기타서비스
023770,플레이위드,디지털컨텐츠
300080,플리토,디지털컨텐츠
032580,피델릭스,반도체
051380,피씨디렉트,유통
241820,피씨엘,제약
237750,피앤씨테크,일반전기전자
131390,피앤이솔루션,일반전기전자
024850,피에스엠씨,반도체
319660,피에스케이,반도체
031980,피에스케이홀딩스,반도체
002230,피에스텍,의료·정밀기기
043370,피에이치에이,운송장비·부품
239890,피엔에이치테크,화학
347740,피엔케이피부임상연구센타,기타서비스
137400,피엔티,기계·장비
128660,피제이메탈,금속
006140,피제이전자,의료·정밀기기
304840,피플바이오,제약
062970,피피아이,일반전기전자
087600,픽셀플러스,반도체
057880,필로시스헬스케어,유통
161580,필옵틱스,IT부품
347770,핌스,IT부품
163730,핑거,소프트웨어
332710,하나금융14호스팩,금융
341160,하나금융15호스팩,금융
343510,하나금융16호스팩,금융
363260,하나금융17호스팩,금융
299030,하나기술,기계·장비
067310,하나마이크론,반도체
372290,하나머스트7호스팩,금융
307160,하나머스트제6호스팩,금융
166090,하나머티리얼즈,반도체
136480,하림,음식료·담배
003380,하림지주,금융
149980,하이로닉,의료·정밀기기
013030,하이록코리아,금속
126700,하이비젼시스템,의료·정밀기기
106080,하이소닉,IT부품
340120,하이제5호스팩,금융
221840,하이즈항공,운송장비·부품
106190,하이텍팜,유통
066130,하츠,일반전기전자
368770,한국9호스팩,금융
004590,한국가구,유통
039340,한국경제TV,방송서비스
034950,한국기업평가,기타서비스
222980,한국맥널티,음식료·담배
318000,한국바이오젠,화학
256840,한국비엔씨,제약
025550,한국선재,금속
023890,한국아트라스비엑스,IT부품
017890,한국알콜,화학
080720,한국유니온제약,제약
063570,한국전자금융,금융
041460,한국전자인증,소프트웨어
101680,한국정밀기계,기계·장비
039740,한국정보공학,유통
053300,한국정보인증,소프트웨어
025770,한국정보통신,통신서비스
310870,한국제8호스팩,금융
023760,한국캐피탈,금융
054040,한국컴퓨터,IT부품
050540,한국코퍼레이션,기타서비스
021650,한국큐빅,화학
053590,한국테크놀로지,운송장비·부품
032300,한국파마,제약
037230,한국팩키지,종이·목재
030520,한글과컴퓨터,소프트웨어
052600,한네트,통신서비스
256150,한독크린텍,기계·장비
092460,한라IMS,운송장비·부품
047080,한빛소프트,디지털컨텐츠
070590,한솔인티큐브,컴퓨터서비스
226440,한송네오텍,기계·장비
042520,한스바이오메드,제약
078350,한양디지텍,반도체
045100,한양이엔지,기타서비스
046110,한일네트웍스,컴퓨터서비스
024740,한일단조,운송장비·부품
005860,한일사료,음식료·담배
123840,한일진공,기계·장비
007770,한일화학,화학
079170,한창산업,금속
086960,한컴MDS,소프트웨어
054920,한컴위드,소프트웨어
002680,한탑,음식료·담배
066110,한프,정보기기
317320,한화에스비아이스팩,금융
340440,한화플러스제1호스팩,금융
220630,해마로푸드서비스,유통
034810,해성산업,금융
076610,해성옵틱스,IT부품
220180,핸디소프트,소프트웨어
008800,행남사,음식료·담배
900270,헝셩그룹,금융
084990,헬릭스미스,기타서비스
170030,현대공업,운송장비·부품
319400,현대무벡스,기계·장비
048410,현대바이오,화학
052260,현대바이오랜드,화학
016790,현대사료,음식료·담배
041440,현대에버다임,기계·장비
090850,현대이지웰,기타서비스
039010,현대통신,통신장비
092300,현우산업,IT부품
053660,현진소재,금속
011080,형지I&C,섬유·의류
060560,홈센타홀딩스,유통
064240,홈캐스트,통신장비
039610,화성밸브,기계·장비
126640,화신정공,운송장비·부품
061250,화일약품,제약
097870,효성오앤비,화학
050090,휘닉스소재,IT부품
290270,휴네시온,소프트웨어
090710,휴림로봇,기계·장비
205470,휴마시스,제약
115160,휴맥스,통신장비
028080,휴맥스홀딩스,금융
032860,휴먼엔,기타서비스
200670,휴메딕스,제약
065510,휴비츠,의료·정밀기기
243070,휴온스,제약
084110,휴온스글로벌,제약
145020,휴젤,제약
024060,흥구석유,유통
010240,흥국,기계·장비
189980,흥국에프엔비,음식료·담배
037440,희림,기타서비스
238490,힘스,반도체
